date,weekday,session,online_time,offline_time,online_time_tw,offline_time_tw,online_time_gmt,offline_time_gmt,duration_hours,temp_leave_minutes,source_file,notes
2023-09-08,Friday,1,08:08,14:35,08:08,14:35,00:08,06:35,4.93,91.0,chat-history-20260323.txt,
2023-09-11,Monday,1,07:53,13:04,07:53,13:04,23:53,05:04,5.18,0.0,chat-history-20260323.txt,
2023-09-12,Tuesday,1,09:54,23:29,09:54,23:29,01:54,15:29,3.18,624.0,chat-history-20260323.txt,
2023-09-13,Wednesday,1,08:08,10:26,08:08,10:26,00:08,02:26,2.3,0.0,chat-history-20260323.txt,
2023-09-14,Thursday,1,08:07,11:18,08:07,11:18,00:07,03:18,3.18,0.0,chat-history-20260323.txt,
2023-09-15,Friday,1,08:13,11:18,08:13,11:18,00:13,03:18,3.08,0.0,chat-history-20260323.txt,
2023-09-18,Monday,1,08:04,11:48,08:04,11:48,00:04,03:48,3.73,0.0,chat-history-20260323.txt,
2023-09-19,Tuesday,1,08:01,10:46,08:01,10:46,00:01,02:46,2.75,0.0,chat-history-20260323.txt,
2023-09-20,Wednesday,1,08:08,11:29,08:08,11:29,00:08,03:29,3.35,0.0,chat-history-20260323.txt,
2023-09-21,Thursday,1,08:02,09:36,08:02,09:36,00:02,01:36,1.57,0.0,chat-history-20260323.txt,
2023-09-22,Friday,1,08:00,11:15,08:00,11:15,00:00,03:15,3.25,0.0,chat-history-20260323.txt,
2023-09-24,Sunday,1,13:03,14:49,13:03,14:49,05:03,06:49,1.77,0.0,chat-history-20260323.txt,
2023-09-25,Monday,1,09:13,11:35,09:13,11:35,01:13,03:35,2.37,0.0,chat-history-20260323.txt,
2023-09-26,Tuesday,1,08:11,12:36,08:11,12:36,00:11,04:36,4.42,0.0,chat-history-20260323.txt,
2023-09-28,Thursday,1,08:12,11:09,08:12,11:09,00:12,03:09,2.95,0.0,chat-history-20260323.txt,
2023-10-02,Monday,1,08:24,16:03,08:24,16:03,00:24,08:03,5.5,129.0,chat-history-20260323.txt,
2023-10-03,Tuesday,1,10:12,18:15,10:12,18:15,02:12,10:15,5.67,143.0,chat-history-20260323.txt,
2023-10-04,Wednesday,1,08:11,19:46,08:11,19:46,00:11,11:46,7.65,236.0,chat-history-20260323.txt,
2023-10-05,Thursday,1,08:42,12:06,08:42,12:06,00:42,04:06,3.4,0.0,chat-history-20260323.txt,
2023-10-06,Friday,1,07:28,17:26,07:28,17:26,23:28,09:26,9.97,0.0,chat-history-20260323.txt,
2023-10-10,Tuesday,1,21:12,23:07,21:12,23:07,13:12,15:07,1.92,0.0,chat-history-20260323.txt,
2023-10-11,Wednesday,1,08:07,12:03,08:07,12:03,00:07,04:03,3.93,0.0,chat-history-20260323.txt,
2023-10-12,Thursday,1,08:29,13:24,08:29,13:24,00:29,05:24,4.92,0.0,chat-history-20260323.txt,
