日期,工作項目,完成請打Ｖ,備註（待追事項）
2/23,新品上架,TRUE,120297 商品送松錢門市沒有，不確定有沒有被退回
,新品入單,TRUE,內衣換貨回覆
,追漏單,TRUE,117176 Bella Hsu分期付款，追款。2/24崔款
,匯款通知,TRUE,
,催款通知（三/五進行）,FALSE,
,斷貨通知（非常態）,FALSE,
,直播,FALSE,
,直播入單,FALSE,
,內衣玫瑰色只剩Ｓ，問要不要換貨,TRUE,
,,FALSE,
2/24,上架,TRUE,1/1-2/12到貨的催款通知，我用姓名排序，先發到p2
,入單,TRUE,Ling Yen要幫她新建會員，目前系統那個不是他
,追漏單,TRUE,
,匯款通知,TRUE,
,催款通知（三/五進行）,TRUE,
,斷貨通知（非常態）,FALSE,
,直播,FALSE,
,直播入單,FALSE,
,義大利包未加入會員的提醒他們加入,TRUE,
,發廠商文,TRUE,
2/25,新品上架,TRUE,
,新品入單,TRUE,內衣剩下一兩個還沒確認
,追漏單,FALSE,1/1-2/12到貨的催款通知，我用姓名排序，先發到p3
,匯款通知,TRUE,
,催款通知（三/五進行）,TRUE,
,斷貨通知（非常態）,TRUE,
,直播,FALSE,
,直播入單,FALSE,
,內衣再確認,FALSE,
,廠商貨發單,TRUE,
2/26,新品上架,TRUE,許秀滿，欠他一個耳環要跟Irene問該怎麼處理
,新品入單,TRUE,Charline Hung 14655出貨狀況？？等candice確認後Line回覆
,追漏單,TRUE,只剩蔓倪內衣確認是綠Ｍ還是綠Ｌ，我有先入單綠Ｍ，如果沒有問題，就可以請芳慈補訂貨了
,匯款通知,TRUE,
,催款通知（三/五進行）,FALSE,
,斷貨通知（非常態）,FALSE,
,直播,FALSE,
,直播入單,FALSE,
,義大利包再入單,TRUE,
,,FALSE,
3/2,新品上架,TRUE,匯款通知還有一面我還沒發
,新品入單,TRUE,孫佩珍的試穿結果回報給岱影
,追漏單,FALSE,
,匯款通知,TRUE,
,催款通知（三/五進行）,FALSE,
,斷貨通知（非常態）,TRUE,
,直播,FALSE,
,直播入單,FALSE,
,,FALSE,
,,FALSE,
3/3,新品上架,TRUE,"匯款通知我沒發完（Calvin Klein 外套，converse T shirt, old navy , north face已到貨）"
,新品入單,TRUE,E0128 Tory Burch 厚底sneaker休閒鞋都入單完畢
,追漏單,TRUE,C0202 TOM FORD 超模黑跟霧光唇膏2g#115 等客人回覆（曲妹，蔡金伶），五點前要跟岱穎說
,匯款通知,TRUE,
,催款通知（三/五進行）,FALSE,
,斷貨通知（非常態）,TRUE,
,直播,FALSE,
,直播入單,FALSE,
,,FALSE,
,,FALSE,
3/4,新品上架,TRUE,義大利包還沒發完
,新品入單,TRUE,Irene匯款通知
,追漏單,TRUE,
,匯款通知,TRUE,
,催款通知（三/五進行）,TRUE,
,斷貨通知（非常態）,FALSE,
,直播,FALSE,
,直播入單,FALSE,
,,FALSE,
,,FALSE,
